rank,benchmark,table,column,col_idx,avg_len,prefix_len,psa_score,query_id,query_type,label,target_sel,actual_sel,bcr,matches,sa_ns,psa90_ns,psapl_ns,psafx_ns,speedup_90,speedup_pl,speedup_fx
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,1,Eq,EQ '@Delo_44 @kanyewest…',0.0500,0.0500,0.0000,1,2125,833,833,833,2.5510,2.5510,2.5510
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,2,Eq,EQ 'Hoping my boys surg…',0.0500,0.0500,0.0000,1,2125,833,833,833,2.5510,2.5510,2.5510
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,3,Eq,EQ 'Perfect evening on …',0.0500,0.0500,0.0000,1,2167,833,834,833,2.6014,2.5983,2.6014
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,4,Ne,NE 'Hoping my boys surg…',0.9500,0.9500,0.0000,19,2125,1125,1125,1125,1.8889,1.8889,1.8889
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,5,In,"IN(2) '@itsmarisman HE IS …','POP UP #fleamarket …'",0.1000,0.1000,0.0000,2,4041,2250,2250,2250,1.7960,1.7960,1.7960
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,6,In,"IN(3) '@Delo_44 @kanyewest…',…",0.1500,0.1500,0.0000,3,5584,2583,2583,2542,2.1618,2.1618,2.1967
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,7,In,"IN(5) '#allnaturalproducts…',…",0.2500,0.2500,0.0000,5,7583,3000,3000,3000,2.5277,2.5277,2.5277
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,8,Range,"RANGE ['@oliviaaa8911 yeah …','Need a great gift f…']",0.5000,0.5000,0.1000,10,2416,2167,2166,2000,1.1149,1.1154,1.2080
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,9,Range,"RANGE wide ['@Delo_44 @kanyewest…','Perfect evening on …']",0.8000,0.8000,0.1000,16,2250,2083,2083,2083,1.0802,1.0802,1.0802
3,Hatred,Hatred_1,Tweet Text,27,108.2,2,100.9,10,Range,RANGE >= 'Hoping my boys surg…',0.5000,0.5000,0.0500,10,2000,1583,1583,1583,1.2634,1.2634,1.2634
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,1,Range,"RANGE 5% ['Even though I've …','Growing up on the…']",0.0500,0.1000,0.1000,2,2167,1792,1708,1708,1.2093,1.2687,1.2687
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,2,Range,"RANGE 10% ['Even though I've …','Growing up on the…']",0.1000,0.1000,0.1000,2,2042,1708,1708,1708,1.1956,1.1956,1.1956
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,3,Range,"RANGE 20% ['Don't remember sh…','Made with @nocrop…']",0.2000,0.2000,0.1500,4,2042,1917,1916,1917,1.0652,1.0658,1.0652
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,4,Range,"RANGE 30% ['And suddenly the …','Made with @nocrop…']",0.3000,0.3000,0.1500,6,2083,1958,1958,1958,1.0638,1.0638,1.0638
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,5,Range,"RANGE 40% ['And suddenly the …','That after work a…']",0.4000,0.3500,0.1500,7,2083,2000,1917,1750,1.0415,1.0866,1.1903
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,6,Range,"RANGE 50% ['#shrimpboat #Alab…','That after work a…']",0.5000,0.4500,0.2000,9,1958,2125,2125,1958,0.9214,0.9214,1.0000
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,7,Range,"RANGE 60% ['#happyfriday what…','The littlest chai…']",0.6000,0.5500,0.1500,11,2000,1958,1875,1750,1.0215,1.0667,1.1429
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,8,Range,"RANGE 70% ['#earlymorning #Be…','Yum!!! #Fruit #Ap…']",0.7000,0.7000,0.1500,14,1875,1917,1917,1917,0.9781,0.9781,0.9781
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,9,Range,"RANGE 80% ['#Earlier #ChurchH…','~Its true there's…']",0.8000,0.8500,0.1500,17,1875,2041,2000,2000,0.9187,0.9375,0.9375
3,IGlocations2,IGlocations2_1,caption,1,154.7,3,142.2,10,Range,"RANGE 90% ['#Earlier #ChurchH…','~Its true there's…']",0.9000,0.8500,0.1500,17,1875,2000,1958,1958,0.9375,0.9576,0.9576
